iter	Passed	Remaining
0	6	6490
1	11	5892
2	18	6096
3	23	5935
4	30	6118
5	37	6218
6	43	6231
7	50	6248
8	56	6169
9	61	6090
10	68	6115
11	73	6062
12	80	6103
13	86	6076
14	92	6042
15	98	6053
16	104	6019
17	109	5995
18	116	6023
19	122	5997
20	129	6019
21	134	6000
22	141	5991
23	148	6023
24	154	6007
25	160	6006
26	166	5992
27	172	5977
28	178	5979
29	185	6000
30	190	5967
31	197	5970
32	203	5956
33	209	5964
34	215	5947
35	221	5928
36	228	5937
37	230	5830
38	236	5820
39	242	5818
40	248	5802
41	253	5781
42	260	5789
43	265	5775
44	271	5764
45	277	5761
46	283	5748
47	289	5750
48	295	5740
49	301	5729
50	308	5736
51	313	5718
52	319	5707
53	325	5708
54	331	5699
55	338	5704
56	344	5693
57	349	5679
58	356	5681
59	361	5670
60	368	5666
61	374	5659
62	379	5651
63	386	5652
64	392	5643
65	400	5669
66	408	5686
67	415	5697
68	423	5719
69	431	5726
70	439	5747
71	444	5735
72	452	5745
73	458	5736
74	463	5720
75	471	5734
76	477	5719
77	483	5716
78	489	5706
79	495	5694
80	501	5694
81	507	5685
82	513	5673
83	519	5664
84	525	5652
85	532	5655
86	537	5644
87	543	5634
88	550	5632
89	556	5623
90	561	5612
91	567	5603
92	573	5592
93	579	5588
94	585	5577
95	592	5582
96	599	5585
97	605	5576
98	612	5572
99	617	5561
100	623	5551
101	630	5547
102	635	5537
103	643	5541
104	650	5542
105	657	5541
106	664	5544
107	670	5534
108	676	5530
109	683	5526
110	688	5515
111	695	5515
112	701	5504
113	707	5495
114	713	5487
115	718	5477
116	725	5475
117	731	5465
118	736	5455
119	743	5453
120	750	5449
121	756	5441
122	761	5430
123	767	5422
124	774	5421
125	780	5410
126	785	5402
127	794	5415
128	800	5406
129	806	5400
130	812	5391
131	818	5381
132	825	5380
133	830	5369
134	836	5360
135	842	5353
136	847	5340
137	859	5366
138	871	5396
139	878	5397
140	887	5406
141	896	5415
142	904	5421
143	911	5419
144	920	5426
145	927	5426
146	935	5428
147	943	5430
148	950	5430
149	957	5428
150	965	5426
151	972	5425
152	978	5415
153	985	5411
154	990	5401
155	996	5390
156	1002	5383
157	1008	5373
158	1015	5369
159	1020	5357
160	1026	5348
161	1032	5341
162	1038	5330
163	1043	5320
164	1049	5312
165	1055	5303
166	1061	5294
167	1067	5288
168	1073	5279
169	1077	5258
170	1083	5253
171	1089	5243
172	1094	5233
173	1098	5215
174	1104	5204
175	1109	5195
176	1116	5189
177	1121	5180
178	1128	5174
179	1133	5164
180	1139	5155
181	1145	5149
182	1151	5140
183	1157	5131
184	1163	5125
185	1169	5116
186	1174	5107
187	1186	5124
188	1194	5127
189	1202	5125
190	1209	5124
191	1218	5126
192	1223	5116
193	1226	5094
194	1232	5085
195	1237	5077
196	1245	5074
197	1250	5066
198	1258	5065
199	1264	5056
